"REF_DATE","GEO","DGUID","Age of mother","Marital status of mother","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401437","1.8.7.1","160","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 40 to 44 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401438","1.8.7.2","3.9","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Total, marital status of mother","Number of live births","Number","223","units","0","v21401439","1.9.1.1","138","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401440","1.9.1.2","100.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401441","1.9.2.1","14","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401442","1.9.2.2","10.1","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, married","Number of live births","Number","223","units","0","v21401443","1.9.3.1","116","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401444","1.9.3.2","84.1","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401445","1.9.4.1","1","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401446","1.9.4.2","0.7","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401447","1.9.5.1","2","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401448","1.9.5.2","1.4","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401449","1.9.6.1","0","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401450","1.9.6.2","0.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401451","1.9.7.1","5","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, 45 to 49 years","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401452","1.9.7.2","3.6","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Total, marital status of mother","Number of live births","Number","223","units","0","v21401453","1.10.1.1","2407","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401454","1.10.1.2","100.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401455","1.10.2.1","441","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401456","1.10.2.2","18.3","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, married","Number of live births","Number","223","units","0","v21401457","1.10.3.1","1704","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401458","1.10.3.2","70.8","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401459","1.10.4.1","1","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, widowed","Percentage of live births","Percentage","242","units","0","v21401460","1.10.4.2","0.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, divorced","Number of live births","Number","223","units","0","v21401461","1.10.5.1","19","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, divorced","Percentage of live births","Percentage","242","units","0","v21401462","1.10.5.2","0.8","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, separated","Number of live births","Number","223","units","0","v21401463","1.10.6.1","0","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, separated","Percentage of live births","Percentage","242","units","0","v21401464","1.10.6.2","0.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, not stated","Number of live births","Number","223","units","0","v21401465","1.10.7.1","242","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Age of mother, not stated","Marital status of mother, not stated","Percentage of live births","Percentage","242","units","0","v21401466","1.10.7.2","10.1","","","","1"
"1992","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Total, marital status of mother","Number of live births","Number","223","units","0","v21401327","1.1.1.1","398643","","","","0"
"1992","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Total, marital status of mother","Percentage of live births","Percentage","242","units","0","v21401328","1.1.1.2","100.0","","","","1"
"1992","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, single (never married)","Number of live births","Number","223","units","0","v21401329","1.1.2.1","101839","","","","0"
"1992","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, single (never married)","Percentage of live births","Percentage","242","units","0","v21401330","1.1.2.2","25.5","","","","1"
"1992","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, married","Number of live births","Number","223","units","0","v21401331","1.1.3.1","277709","","","","0"
"1992","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, married","Percentage of live births","Percentage","242","units","0","v21401332","1.1.3.2","69.7","","","","1"
"1992","Canada, place of residence of mother","2016A000011124","Age of mother, all ages","Marital status of mother, widowed","Number of live births","Number","223","units","0","v21401333","1.1.4.1","506","","","","0"
